C03557	NCCP(O)(O)=O
C20483	C5(N(C1(OC(C(C1O)O)COP(OP(OCC4(C(C(C(N3(C2(=C(C(=NC=N2)N)N=C3)))O4)OP([O-])([O-])=O)O))([O-])=O)(=O)[O-]))C(O)CCC(C(=O)N)=5)
C02008	CC(C)=CCc1cc(ccc1O)\C=C1OC(=O)C(=C/1O)c1ccc(O)c(CC=C(C)C)c1
C17703	CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H](N)C[C@H](N)[C@@H](O[C@H]2O[C@H](C(C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@@H]1O
C19619	CC(C)C1(C=CC(CCC=C(C)CC1)=C)
C17018	OC(=O)c1ccc2c(O)ccc(O)c2c1
C03588	CC34([CH]2([CH]([CH]1(C(C)(C(C(=O)CO)(O)CC1)CC(=O)2))CC[CH]3CC(=O)CC4))
C04006	O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O
C08727	COc1cc(cc(O)c1O)-c1[o+]c2cc(O)cc(O)c2cc1O
C05260	CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12
C12369	COc1cc(O)c2C(=O)c3c(O)c4c(C)c(C(O)=O)c(O)cc4cc3C(=O)c2c1
C17691	C(O)C1(O)(C(O)C(O)C(O)C(=O)C1)
C01099	[C@]1(C(=C)C1)(C[C@@H](C(O)=O)N)[H]
C00854	OC1CCCCC1
C03676	C(=CC(=O)[O-])C(O)=CC(=O)[O-]
C19740	CC1(=CCC3(C)(C[CH]1C2(C)(C(C)(CCC2)3)))
C00147	Nc1ncnc2[nH]cnc12
C03001	C(CCC(NC(=O)C1(C=CC=CC=1))C(=O)[O-])NC(=[N+])N
